Country Name,2005,2006,2007,2008,2009,2010
OECD members,8034.546219,8038.321828,8117.580987,8075.116226,7706.752262,8014.453356
Oman,3923.93601,4212.723961,4387.387747,4790.698215,5251.746584,5521.078044
Other small states,,,,,,
Pakistan,444.5865162,466.2283605,459.5606365,422.0648344,436.6827154,442.1800633
Panama,1455.158245,1478.031638,1571.950542,1626.754307,1639.465637,1745.138416
Peru,829.6089806,882.8180003,966.750844,1042.352265,1048.183699,1107.35684
Philippines,576.3021031,567.7409518,581.6533711,584.5968108,588.8924318,637.9062627
Palau,,,,,,
Papua New Guinea,,,,,,
Poland,3437.323998,3584.962188,3661.646104,3725.748778,3590.832081,3797.092296
Pre-demographic dividend,188.059292,197.3004984,195.8700327,191.3280502,196.7682099,229.1399723
Puerto Rico,,,,,,
"Korea, Dem. People's Rep.",807.0141076,785.2465277,749.1629228,803.6563174,728.1297051,742.9678958
Portugal,4682.991013,4827.467182,4890.560188,4850.837413,4843.849694,4959.094305
Paraguay,859.5326828,916.0841857,978.7561078,1027.741455,1086.475113,1171.411665
West Bank and Gaza,,,,,,
Pacific island small states,,,,,,
Post-demographic dividend,9226.39271,9228.634134,9320.891136,9273.568616,8849.532662,9225.398416
French Polynesia,,,,,,
Qatar,15457.41325,15513.77525,14833.70963,13980.94204,13680.82545,14209.22692
Romania,2365.419564,2446.286077,2529.906888,2605.819735,2390.574743,2550.863291
Russian Federation,5770.100636,6098.533476,6286.049392,6399.683749,6095.380276,6409.894365
Rwanda,,,,,,
South Asia,430.6716503,466.8476399,492.3447794,503.4397452,535.6271287,570.9088741
Saudi Arabia,6615.042088,6842.756887,6942.539344,7203.49761,7477.083531,7974.737166
Sudan,98.28910399,109.7852101,118.7863557,130.032978,150.0128212,175.1627601
Senegal,160.2326683,159.5463542,184.0494262,160.9369664,192.3779733,202.8688271
Singapore,8678.168168,8720.022084,8706.579067,8401.048395,8114.367449,8679.99335
Solomon Islands,,,,,,
Sierra Leone,,,,,,
El Salvador,755.4372647,817.0220885,882.1106454,855.7076614,846.0981558,857.0674999
San Marino,,,,,,
Somalia,,,,,,
Serbia,3921.906459,4040.44002,4159.137225,4291.843158,4224.397665,4358.812174
Sub-Saharan Africa (excluding high income),525.1737159,530.0320993,539.6807214,516.2286617,493.503632,508.1928342
South Sudan,,,,,,
Sub-Saharan Africa,525.1737159,530.0320993,539.6807214,516.2286617,493.503632,508.1928342
Small states,,,,,,
Sao Tome and Principe,,,,,,
Suriname,2764.980649,2762.758959,2768.099753,3032.166491,3026.114816,2980.386524
Slovak Republic,4932.803281,5153.121484,5272.370783,5294.435099,4954.138251,5201.404897
Slovenia,6917.860467,7123.537771,7137.824175,6920.244039,6104.421845,6510.841884
Sweden,15430.96395,15262.58727,15257.93575,14869.34898,14143.01101,14934.32696
Eswatini,,,,,,
Sint Maarten (Dutch part),,,,,,
Seychelles,,,,,,
Syrian Arab Republic,1497.888643,1537.887862,1540.326197,1558.988691,1515.28777,1823.61265
Turks and Caicos Islands,,,,,,
